Tlab, partial wave, pn, delta, error
 25, 3P2, pp,  2.48925, 0.00488
 50, 3P2, pp,  5.85391, 0.00904
100, 3P2, pp, 10.98015, 0.01799
150, 3P2, pp, 14.00842, 0.01929
200, 3P2, pp, 15.78410, 0.02500
250, 3P2, pp, 16.71457, 0.03210
300, 3P2, pp, 16.95106, 0.03302
350, 3P2, pp, 16.59955, 0.02963
  1, 3P2-3F2, pp, -0.00105, 0.00000
  5, 3P2-3F2, pp, -0.05167, 0.00003
 10, 3P2-3F2, pp, -0.20090, 0.00015
 25, 3P2-3F2, pp, -0.81086, 0.00118
 50, 3P2-3F2, pp, -1.70843, 0.00401
100, 3P2-3F2, pp, -2.64334, 0.00828
150, 3P2-3F2, pp, -2.91336, 0.01204
200, 3P2-3F2, pp, -2.90090, 0.01642
250, 3P2-3F2, pp, -2.70279, 0.02172
300, 3P2-3F2, pp, -2.31174, 0.02982
350, 3P2-3F2, pp, -1.73037, 0.03910
  1, 3F2, pp,  0.00001, 0.00000
  5, 3F2, pp,  0.00177, 0.00000
 10, 3F2, pp,  0.01308, 0.00001
 25, 3F2, pp,  0.10508, 0.00019
 50, 3F2, pp,  0.34140, 0.00149
100, 3F2, pp,  0.83187, 0.00844
150, 3F2, pp,  1.19173, 0.01677
200, 3F2, pp,  1.32661, 0.02194
250, 3F2, pp,  1.22296, 0.02741
300, 3F2, pp,  0.92143, 0.03928
350, 3F2, pp,  0.46076, 0.05541
  1, 3F4, pp,   0.00000, 0.00000
  5, 3F4, pp,   0.00012, 0.00000
 10, 3F4, pp,   0.00125, 0.00001
 25, 3F4, pp,   0.01859, 0.00013
 50, 3F4, pp,   0.10221, 0.00101
100, 3F4, pp,   0.46085, 0.00498
150, 3F4, pp,   1.01322, 0.00944
200, 3F4, pp,   1.63438, 0.01558
250, 3F4, pp,   2.19995, 0.02225
300, 3F4, pp,   2.64350, 0.02689
350, 3F4, pp,   2.96960, 0.04201
  1, 3F4-3H4, pp,  -0.00000, 0.00000
